datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,total_sub_metering,target_next_hour_power
2021-01-01 00:00:00,1.3490142459033698,0.19630887737658206,246.99677718293,5.778361076166638,5,1,21,27,1.1585207096486445
2021-01-01 01:00:00,1.1585207096486445,0.24547083202350653,244.62316841456385,4.448814283671466,10,26,0,36,1.3943065614302077
2021-01-01 02:00:00,1.3943065614302077,0.08007162130904293,240.29815184960088,4.1818011165776925,2,8,16,26,1.6569089569224076
2021-01-01 03:00:00,1.6569089569224076,0.17814846183452854,236.76531611147212,4.996625542589048,7,28,10,45,1.1297539875829992
2021-01-01 04:00:00,1.1297539875829992,0.11746787154390864,243.49111656806795,4.829815377475072,2,8,9,19,1.1297589129152459
2021-01-01 05:00:00,1.1297589129152459,0.1256437308117652,241.96742692710876,4.546771950672725,13,12,18,43,1.6737638446522174
2021-01-01 06:00:00,1.6737638446522174,0.12038030378805653,244.47596610013866,5.696387447456715,12,5,13,30,1.4302304187458725
2021-01-01 07:00:00,1.4302304187458725,0.10680046151600919,243.17585900840984,5.955305208570511,12,5,9,26,1.0591576842195143
2021-01-01 08:00:00,1.0591576842195143,0.15242608139724134,245.24776357659667,5.088406886291847,1,19,14,34,1.3627680130757893
2021-01-01 09:00:00,1.3627680130757893,0.1084524941794481,237.32382394219715,6.477530081055262,12,19,18,49,1.0609746921562613
2021-01-01 10:00:00,1.0609746921562613,0.16352284128899194,246.58697032817162,3.858310885866495,18,20,3,41,1.0602810739289228
2021-01-01 11:00:00,1.0602810739289228,0.14748809452754313,240.987998023462,4.8063405407202815,5,2,1,8,1.2725886814698102
2021-01-01 12:00:00,1.2725886814698102,0.13805259765667952,250.37630436312634,4.283177679397195,15,16,8,39,0.6260159266026606
2021-01-01 13:00:00,0.6260159266026606,0.1046218168979201,236.55406090955216,3.13346338292694,1,16,9,26,0.6825246502460901
2021-01-01 14:00:00,0.6825246502460901,0.12116143347158335,248.67981901582624,4.917319314157301,7,11,10,28,1.0313137412277082
2021-01-01 15:00:00,1.0313137412277082,0.1877695612912878,240.98955391731323,4.878252491616716,16,15,13,44,0.8961506638996728
2021-01-01 16:00:00,0.8961506638996728,0.17504585938121903,236.74290998192777,6.5134497432421306,1,14,6,21,1.294274199778582
2021-01-01 17:00:00,1.294274199778582,0.10112223776007244,237.5805708297284,5.630811684554778,9,12,22,43,0.9275927773436368
2021-01-01 18:00:00,0.9275927773436368,0.1549666152714613,238.39826345902839,3.975813175670795,15,22,14,51,0.7763088895994126
2021-01-01 19:00:00,0.7763088895994126,0.18756935616858944,242.12082973200958,6.854092566334188,5,0,21,26,1.6396946306764661
2021-01-01 20:00:00,1.6396946306764661,0.0665297359439314,242.61417744017749,6.221033695525353,1,16,18,35,1.1322671098540393
2021-01-01 21:00:00,1.1322671098540393,0.17716800961899676,237.1314999803071,5.582097703468616,1,2,21,24,1.2202584614063772
2021-01-01 22:00:00,1.2202584614063772,0.11686881205270766,239.8782270386951,4.773515901150168,12,25,14,51,0.772575544135963
2021-01-01 23:00:00,0.772575544135963,0.17852993342965795,250.71135179305932,4.04056076327652,14,14,23,51,1.0366851826424452
2021-01-02 00:00:00,1.0366851826424452,0.11183704217287416,248.63771585050355,4.627793223928947,1,3,7,11,1.2332767769129598
2021-01-02 01:00:00,1.2332767769129598,0.05975589496677404,242.18161834837016,6.088748619704186,6,3,10,19,0.8547019267733091
2021-01-02 02:00:00,0.8547019267733091,0.06862287810584186,240.190017390841,6.884586305934609,2,17,8,27,1.3127094055037016
2021-01-02 03:00:00,1.3127094055037016,0.1524042473330691,240.6001566335913,6.543243528272189,7,16,14,37,1.0198083930243584
2021-01-02 04:00:00,1.0198083930243584,0.16298612508607407,243.06758986365207,4.511150578213726,13,18,0,31,1.112491875062017
2021-01-02 05:00:00,1.112491875062017,0.10478416874477955,234.88603717400798,3.880382566710989,6,10,0,16,1.0194880163311808
2021-01-02 06:00:00,1.0194880163311808,0.1819296229388687,238.71311731288327,5.1408862469112035,6,19,18,43,1.7556834553526812
2021-01-02 07:00:00,1.7556834553526812,0.066923996886552,231.65707963061206,3.231560634437148,0,2,2,4,1.1959508325786197
2021-01-02 08:00:00,1.1959508325786197,0.14669601006763416,241.9961156130264,5.323167714184781,16,7,9,32,0.8826867213132299
2021-01-02 09:00:00,0.8826867213132299,0.08944919001187715,243.23597969851372,4.852397413701332,8,13,7,28,1.4467634736309567
2021-01-02 10:00:00,1.4467634736309567,0.11740819460989203,237.58406768850313,4.533963498131758,12,25,14,51,0.8337469050086933
2021-01-02 11:00:00,0.8337469050086933,0.1523699335658207,247.86993381645016,3.4052969327332043,18,0,9,27,1.2626590785014267
2021-01-02 12:00:00,1.2626590785014267,0.10697933173580237,233.8711716849883,5.513600106569717,18,13,0,31,0.6120989628360674
2021-01-02 13:00:00,0.6120989628360674,0.13077222278850872,232.67812559895088,4.467299160338088,16,1,17,34,0.8015441853304708
2021-01-02 14:00:00,0.8015441853304708,0.20031464046072203,241.12225909279985,3.8300831642897117,9,28,1,38,1.259058370760737
2021-01-02 15:00:00,1.259058370760737,0.12115540652384256,245.23549151306077,2.1277377867183507,9,22,18,49,1.4215399739986232
2021-01-02 16:00:00,1.4215399739986232,0.19178460560325708,248.41963845728935,4.972485094949364,3,3,12,18,1.251410484356991
2021-01-02 17:00:00,1.251410484356991,0.09351465726711908,237.7055786856553,6.772251596669744,7,23,21,51,1.1653055152835279
2021-01-02 18:00:00,1.1653055152835279,0.17649020889576414,245.3934041671565,6.66125921454787,19,26,0,45,1.1096688913232133
2021-01-02 19:00:00,1.1096688913232133,0.222078431032895,239.80745765249645,4.542903743413728,19,28,1,48,0.7564434028897717
2021-01-02 20:00:00,0.7564434028897717,0.026417774993635526,239.1368635002959,4.39778793963822,17,18,15,50,0.9840467374815873
2021-01-02 21:00:00,0.9840467374815873,0.11015523722647616,244.41829968743338,5.468774256075024,13,5,14,32,1.0618083687120636
2021-01-02 22:00:00,1.0618083687120636,0.178853606359027,243.2616143920671,4.001614560811708,17,24,12,53,1.5171366678656746
2021-01-02 23:00:00,1.5171366678656746,0.13984773069785036,232.11803921507874,5.301791899819466,13,0,15,28,1.3030854868705384
2021-01-03 00:00:00,1.3030854868705384,0.16855729366856542,247.38270174862947,5.76608027838469,19,16,16,51,0.6710879533911798
2021-01-03 01:00:00,0.6710879533911798,0.11980074066420897,246.90045677073726,6.226933223884307,14,7,20,41,1.2972251908184385
2021-01-03 02:00:00,1.2972251908184385,0.154329489373645,236.87218649245236,4.899845923520047,3,18,6,27,1.084475315875105
2021-01-03 03:00:00,1.084475315875105,0.14221613823039603,241.97901766718704,4.796326249823034,12,20,23,55,0.9969233999082123
2021-01-03 04:00:00,0.9969233999082123,0.20838910308299036,242.47015093141368,4.122017413243439,7,0,16,23,1.3835028866522603
2021-01-03 05:00:00,1.3835028866522603,0.16272104216506064,241.30336882911953,4.17311964596014,17,4,6,27,1.5092998567487852
2021-01-03 06:00:00,1.5092998567487852,0.1668801331037601,237.2484742307729,4.773521108098473,11,26,12,49,1.4793840357348595
2021-01-03 07:00:00,1.4793840357348595,0.12940615169387662,236.64188316030973,5.367365506816178,13,15,4,32,0.9482347430332084
2021-01-03 08:00:00,0.9482347430332084,0.1256196887963753,239.87222964504278,5.913584626233249,1,5,16,22,1.1072362872446355
2021-01-03 09:00:00,1.1072362872446355,0.12837209060901894,245.86364509629684,4.196821049319655,17,7,2,26,1.2993790294210692
2021-01-03 10:00:00,1.2993790294210692,0.16972260711891485,242.71800077297218,6.4926885689595215,1,12,6,19,1.4926635381367077
2021-01-03 11:00:00,1.4926635381367077,0.12895077595898685,238.14692833956946,4.728876398957431,10,15,16,41,1.056247728646413
